Village Name,Land Size (Acres),Crops,Machines Available,Labor Issues,Tech Gaps,Suggested Machines,Recommended Training Focus
Rajpur,2382,"Millets, Vegetables, Maize","Sprayer, Harvester, Tractor",None,"No seed drill, Manual sowing, No paddy planter","Weeder, Paddy transplanter","Custom hiring, Nursery setup"
Chandipur,1997,"Vegetables, Wheat, Millets","Manual Tools, Harvester",None,"Manual sowing, No seed drill, No weeder","Harvester, Weeder","Custom hiring, Bookkeeping"
Buxar,2839,"Mung, Chana, Vegetables","Manual Tools, Sprayer",Labor migration,"No harvester, Manual weeding, No seed drill",Sprayer,Machine handling
Pipra,2761,"Vegetables, Maize, Mung","Manual Tools, Sprayer",Harvest labor shortage,No paddy planter,"Paddy transplanter, Sprayer",Nursery setup
Rajpur,1835,"Maize, Sugarcane, Vegetables","Manual Tools, Tractor",Harvest labor shortage,No harvester,Sprayer,Machine handling
Khurda,1674,"Millets, Wheat, Maize, Mung","Harvester, Manual Tools",Need skilled labor,No seed drill,"Harvester, Seed drill",Nursery setup
Agariya,951,"Paddy, Vegetables, Chana",Sprayer,Labor migration,"No seed drill, No weeder",Sprayer,Nursery setup
Kundesar,1086,"Maize, Paddy",Harvester,No major labor issues,No weeder,Sprayer,Bookkeeping
Malda,1287,"Paddy, Mung","Sprayer, Harvester",No major labor issues,"Manual sowing, No paddy planter, No harvester",Nursery bed,Nursery setup
Buxar,1843,"Millets, Vegetables",Harvester,None,"No harvester, Manual weeding, No seed drill",Paddy transplanter,"Custom hiring, Nursery setup"
Malda,1934,"Chana, Wheat","Tractor, Harvester",Need skilled labor,"No weeder, No seed drill",Nursery bed,"Custom hiring, Bookkeeping"
Malda,1263,"Maize, Millets, Sugarcane",Sprayer,Need skilled labor,"Manual weeding, No seed drill, No paddy planter","Weeder, Sprayer",Repair & maintenance
Kundesar,2359,"Maize, Chana, Vegetables, Paddy","Manual Tools, Sprayer, Tractor",Need skilled labor,"No seed drill, No weeder, No harvester","Harvester, Weeder",Repair & maintenance
Malda,2698,"Chana, Paddy, Wheat, Mung","Manual Tools, Harvester",Labor migration,"Manual weeding, No weeder","Harvester, Paddy transplanter","Machine handling, Bookkeeping"
Kundesar,1878,"Chana, Vegetables, Wheat, Millets","Sprayer, Manual Tools",No major labor issues,No paddy planter,"Paddy transplanter, Seed drill","Repair & maintenance, Nursery setup"
Rajpur,2110,"Wheat, Paddy, Vegetables, Sugarcane","Tractor, Manual Tools",None,"No paddy planter, No weeder",Seed drill,"Nursery setup, Bookkeeping"
Malda,514,"Paddy, Mung, Chana, Vegetables","None, Sprayer",No major labor issues,No paddy planter,Weeder,"Machine handling, Custom hiring"
Dhanwar,714,"Vegetables, Sugarcane, Maize",Tractor,Labor migration,"No paddy planter, Manual sowing","Sprayer, Weeder",Machine handling
Chandipur,700,"Mung, Millets, Sugarcane","Tractor, None, Manual Tools",Harvest labor shortage,"No seed drill, No weeder, Manual sowing","Harvester, Paddy transplanter","Custom hiring, Repair & maintenance"
Agariya,2432,"Sugarcane, Chana, Mung, Wheat","Manual Tools, None, Sprayer",No major labor issues,No weeder,Harvester,"Repair & maintenance, Nursery setup"
Malda,1297,"Paddy, Maize, Chana","None, Harvester",No major labor issues,"No seed drill, No weeder, Manual weeding","Weeder, Sprayer",Machine handling
Agariya,1833,"Millets, Maize, Sugarcane",None,Labor migration,Manual weeding,"Harvester, Weeder",Bookkeeping
Dhanwar,862,"Mung, Millets","Manual Tools, None, Sprayer",Labor migration,"Manual weeding, No paddy planter",Paddy transplanter,Custom hiring
Chandipur,2663,"Wheat, Mung, Chana","Harvester, None",None,"No paddy planter, No seed drill, No harvester","Harvester, Sprayer",Custom hiring
Dhanwar,1759,"Mung, Vegetables, Wheat, Chana","Harvester, None, Tractor",No major labor issues,Manual weeding,"Paddy transplanter, Seed drill",Bookkeeping
Agariya,1580,"Paddy, Mung",Tractor,None,"No seed drill, Manual sowing","Harvester, Paddy transplanter","Machine handling, Nursery setup"
Chandipur,2750,"Paddy, Wheat, Millets",Harvester,Need skilled labor,"No seed drill, No paddy planter","Harvester, Weeder",Nursery setup
Khurda,1933,"Chana, Millets, Paddy","None, Harvester, Manual Tools",Need skilled labor,Manual weeding,Sprayer,"Machine handling, Nursery setup"
Chandipur,2312,"Millets, Maize, Sugarcane, Paddy",None,No major labor issues,"Manual weeding, No paddy planter, No weeder",Sprayer,"Repair & maintenance, Machine handling"
Khurda,1238,"Sugarcane, Vegetables, Wheat","Harvester, Sprayer, Manual Tools",Need skilled labor,Manual weeding,"Nursery bed, Seed drill",Bookkeeping
Buxar,2375,"Sugarcane, Paddy, Maize, Vegetables","None, Tractor",No major labor issues,"No seed drill, Manual sowing","Seed drill, Weeder","Repair & maintenance, Custom hiring"
Khurda,1130,"Chana, Maize","Harvester, Tractor, Manual Tools",Need skilled labor,"Manual sowing, No harvester, No paddy planter",Weeder,"Custom hiring, Bookkeeping"
Rajpur,2744,"Mung, Chana",None,Harvest labor shortage,No weeder,Seed drill,"Bookkeeping, Machine handling"
Sonpur,719,"Mung, Vegetables","Harvester, None, Manual Tools",None,"Manual sowing, No harvester","Harvester, Seed drill",Custom hiring
Chandipur,2946,"Chana, Mung",None,No major labor issues,"No seed drill, Manual sowing",Harvester,Custom hiring
Pipra,2241,"Maize, Sugarcane, Mung","Tractor, Sprayer",Labor migration,"No paddy planter, No seed drill","Harvester, Seed drill","Nursery setup, Custom hiring"
Buxar,2290,"Maize, Chana, Wheat, Sugarcane","Sprayer, Harvester",Harvest labor shortage,"No seed drill, No harvester, Manual sowing",Sprayer,Machine handling
Pipra,2019,"Millets, Maize, Vegetables, Paddy","Tractor, Sprayer",No major labor issues,"Manual weeding, No weeder, No seed drill",Harvester,"Custom hiring, Machine handling"
Khurda,1329,"Paddy, Maize","Tractor, Sprayer",None,"No seed drill, No weeder, No paddy planter","Weeder, Paddy transplanter",Nursery setup
Kundesar,2768,"Chana, Mung, Millets, Maize",Sprayer,None,"No harvester, Manual sowing","Paddy transplanter, Seed drill",Bookkeeping
Agariya,2947,"Wheat, Chana, Vegetables, Mung",Tractor,Need skilled labor,"No harvester, Manual weeding",Paddy transplanter,Machine handling
Pipra,2913,"Maize, Wheat",Sprayer,Harvest labor shortage,"No weeder, Manual weeding, Manual sowing","Paddy transplanter, Nursery bed",Nursery setup
Malda,2459,"Maize, Vegetables, Mung, Paddy","Harvester, Manual Tools",No major labor issues,"Manual sowing, No seed drill, No paddy planter",Sprayer,Custom hiring
Sonpur,804,"Paddy, Sugarcane, Chana","Sprayer, Tractor",Labor migration,"Manual weeding, No seed drill",Weeder,"Nursery setup, Repair & maintenance"
Dhanwar,890,"Vegetables, Maize, Chana",None,No major labor issues,No weeder,"Seed drill, Sprayer","Repair & maintenance, Bookkeeping"
Pipra,897,"Mung, Maize, Vegetables",Manual Tools,None,"Manual weeding, No harvester",Sprayer,Nursery setup
Malda,1696,"Wheat, Chana","Harvester, Manual Tools",None,"Manual sowing, No paddy planter","Nursery bed, Seed drill","Repair & maintenance, Bookkeeping"
Khurda,2566,"Paddy, Sugarcane, Vegetables, Wheat","Tractor, Sprayer, Manual Tools",No major labor issues,No paddy planter,Weeder,Bookkeeping
Sonpur,2942,"Chana, Mung, Sugarcane","Manual Tools, Sprayer, Tractor",Labor migration,"No paddy planter, No seed drill, Manual weeding",Paddy transplanter,Custom hiring
Kundesar,2131,"Vegetables, Paddy, Mung, Sugarcane","Manual Tools, Sprayer",Need skilled labor,No seed drill,"Weeder, Paddy transplanter","Nursery setup, Custom hiring"
Kundesar,586,"Sugarcane, Chana","None, Harvester",Labor migration,No harvester,"Nursery bed, Paddy transplanter","Repair & maintenance, Custom hiring"
Dhanwar,1448,"Paddy, Mung","Manual Tools, None",None,"No weeder, No harvester, No paddy planter",Nursery bed,"Nursery setup, Machine handling"
Buxar,2178,"Paddy, Sugarcane",Tractor,No major labor issues,Manual weeding,Seed drill,"Custom hiring, Nursery setup"
Pipra,1024,"Paddy, Sugarcane, Vegetables, Wheat",None,Harvest labor shortage,No paddy planter,Nursery bed,Machine handling
Buxar,2885,"Sugarcane, Millets",None,Labor migration,"Manual sowing, Manual weeding","Weeder, Sprayer",Custom hiring
Dhanwar,887,"Millets, Wheat, Mung",Sprayer,No major labor issues,"No paddy planter, Manual weeding, No weeder","Seed drill, Weeder",Repair & maintenance
Rajpur,1991,"Maize, Millets, Wheat","Tractor, Sprayer, None",Need skilled labor,No harvester,Seed drill,Machine handling
Agariya,1280,"Wheat, Maize, Millets","Sprayer, Tractor",No major labor issues,"Manual sowing, No seed drill","Paddy transplanter, Nursery bed","Nursery setup, Custom hiring"
Dhanwar,2622,"Mung, Millets, Chana, Sugarcane",Manual Tools,No major labor issues,No weeder,"Paddy transplanter, Weeder",Nursery setup
Agariya,1327,"Chana, Millets, Vegetables, Paddy","Sprayer, Manual Tools, Harvester",Need skilled labor,"No paddy planter, No harvester, Manual weeding","Seed drill, Sprayer",Repair & maintenance
Rajpur,1405,"Sugarcane, Mung",Tractor,No major labor issues,No harvester,"Harvester, Seed drill","Custom hiring, Nursery setup"
Rajpur,1074,"Maize, Vegetables, Sugarcane, Mung",Harvester,Labor migration,"No weeder, No harvester, No seed drill","Harvester, Sprayer","Repair & maintenance, Nursery setup"
Agariya,1184,"Sugarcane, Vegetables, Paddy","Sprayer, Tractor",Labor migration,No harvester,Sprayer,Machine handling
Dhanwar,2289,"Sugarcane, Maize, Millets, Wheat","Manual Tools, Tractor",Labor migration,Manual weeding,Nursery bed,Bookkeeping
Buxar,1391,"Chana, Wheat","Harvester, Sprayer",Labor migration,"No weeder, No seed drill",Paddy transplanter,Repair & maintenance
Agariya,2672,"Paddy, Chana","None, Harvester",Labor migration,Manual weeding,Paddy transplanter,Repair & maintenance
Malda,1876,"Vegetables, Millets, Sugarcane, Wheat","Manual Tools, Harvester",Need skilled labor,"No weeder, No paddy planter, Manual sowing","Weeder, Sprayer",Repair & maintenance
Agariya,1720,"Vegetables, Wheat, Maize","Tractor, Sprayer",Labor migration,"No harvester, No seed drill, Manual sowing",Seed drill,Repair & maintenance
Agariya,1982,"Chana, Mung, Vegetables, Sugarcane",None,Need skilled labor,"No weeder, No paddy planter, No harvester","Sprayer, Paddy transplanter","Nursery setup, Bookkeeping"
Chandipur,887,"Sugarcane, Vegetables, Chana","None, Manual Tools",Harvest labor shortage,"No harvester, No paddy planter, No seed drill","Harvester, Sprayer",Repair & maintenance
Chandipur,1223,"Chana, Maize, Vegetables, Paddy","Manual Tools, Sprayer",No major labor issues,No harvester,Nursery bed,"Repair & maintenance, Custom hiring"
Rajpur,2955,"Wheat, Mung, Maize, Sugarcane","Harvester, Tractor, Sprayer",None,Manual weeding,"Weeder, Seed drill","Custom hiring, Bookkeeping"
Pipra,1323,"Sugarcane, Chana, Vegetables, Mung",Tractor,Harvest labor shortage,"No seed drill, No paddy planter, No weeder","Nursery bed, Sprayer","Bookkeeping, Repair & maintenance"
Khurda,2952,"Sugarcane, Chana, Mung",Harvester,No major labor issues,"No harvester, No seed drill","Nursery bed, Harvester",Bookkeeping
Buxar,1596,"Millets, Mung, Vegetables, Wheat","Tractor, Sprayer",Harvest labor shortage,"No seed drill, No weeder","Sprayer, Paddy transplanter",Custom hiring
Khurda,1460,"Wheat, Mung",None,No major labor issues,"No seed drill, No weeder","Paddy transplanter, Sprayer","Machine handling, Bookkeeping"
Rajpur,1545,"Wheat, Paddy, Chana","Sprayer, None",None,No seed drill,Weeder,Nursery setup
Sonpur,2117,"Millets, Maize, Chana",None,Harvest labor shortage,"No seed drill, No paddy planter",Nursery bed,Custom hiring
Sonpur,2957,"Chana, Paddy, Vegetables","Harvester, Tractor, Manual Tools",Need skilled labor,"Manual weeding, No paddy planter",Harvester,Machine handling
Kundesar,2376,"Chana, Maize",Harvester,Need skilled labor,"No harvester, No weeder",Sprayer,"Custom hiring, Machine handling"
Rajpur,640,"Maize, Mung, Wheat, Vegetables",Manual Tools,Labor migration,"No harvester, No paddy planter, No seed drill",Sprayer,Nursery setup
Khurda,2569,"Chana, Vegetables","Manual Tools, Tractor, None",None,No paddy planter,Weeder,"Nursery setup, Repair & maintenance"
Buxar,2349,"Millets, Vegetables, Mung","Sprayer, None, Harvester",Labor migration,"Manual sowing, Manual weeding, No weeder",Paddy transplanter,Custom hiring
Sonpur,1245,"Mung, Paddy, Sugarcane",Harvester,No major labor issues,"Manual sowing, No harvester, No weeder",Paddy transplanter,Custom hiring
Agariya,2087,"Wheat, Mung, Chana","Tractor, Sprayer",Harvest labor shortage,"Manual sowing, No seed drill","Sprayer, Harvester","Repair & maintenance, Machine handling"
Chandipur,1638,"Millets, Sugarcane, Mung","Sprayer, None, Manual Tools",No major labor issues,"No weeder, No seed drill",Paddy transplanter,"Bookkeeping, Custom hiring"
Dhanwar,1660,"Sugarcane, Vegetables, Millets","Manual Tools, None, Sprayer",Labor migration,"No seed drill, Manual weeding",Seed drill,"Bookkeeping, Machine handling"
Chandipur,1962,"Millets, Mung","Manual Tools, None",Harvest labor shortage,"No paddy planter, No harvester",Nursery bed,Machine handling
Chandipur,2864,"Mung, Chana, Maize, Sugarcane","Tractor, None, Sprayer",Need skilled labor,No weeder,"Seed drill, Nursery bed",Repair & maintenance
Kundesar,889,"Mung, Chana","Tractor, None",No major labor issues,"Manual weeding, No seed drill, No paddy planter","Weeder, Sprayer","Nursery setup, Repair & maintenance"
Agariya,2574,"Sugarcane, Millets",Harvester,Harvest labor shortage,No weeder,Seed drill,"Nursery setup, Repair & maintenance"
Buxar,1856,"Mung, Paddy",Sprayer,No major labor issues,"Manual sowing, No weeder","Seed drill, Harvester",Custom hiring
Khurda,1001,"Chana, Vegetables, Maize",Sprayer,None,No weeder,"Sprayer, Harvester","Bookkeeping, Machine handling"
Buxar,1525,"Mung, Wheat","Manual Tools, Sprayer, None",Harvest labor shortage,No seed drill,"Seed drill, Paddy transplanter","Repair & maintenance, Nursery setup"
Sonpur,1269,"Wheat, Millets, Vegetables, Chana","Harvester, Tractor",Harvest labor shortage,"No weeder, No harvester, Manual weeding","Nursery bed, Seed drill",Machine handling
Rajpur,788,"Vegetables, Maize, Wheat","Sprayer, None, Manual Tools",Need skilled labor,"No seed drill, No harvester",Sprayer,Nursery setup
Pipra,844,"Chana, Maize, Sugarcane","Manual Tools, Harvester, None",No major labor issues,"Manual weeding, No paddy planter",Seed drill,"Repair & maintenance, Machine handling"
Kundesar,2768,"Paddy, Maize, Millets","Manual Tools, Harvester",Harvest labor shortage,"No harvester, No seed drill, Manual weeding","Paddy transplanter, Harvester","Custom hiring, Repair & maintenance"
Dhanwar,2894,"Maize, Sugarcane","Sprayer, Manual Tools",No major labor issues,"Manual sowing, No paddy planter, No harvester","Weeder, Sprayer",Bookkeeping
Agariya,2298,"Vegetables, Maize, Wheat",Harvester,Harvest labor shortage,"Manual sowing, No seed drill","Paddy transplanter, Nursery bed","Nursery setup, Machine handling"
Pipra,2692,"Chana, Maize, Millets","Manual Tools, Tractor, None",No major labor issues,"Manual sowing, No weeder",Sprayer,"Bookkeeping, Repair & maintenance"
Agariya,2352,"Millets, Maize, Sugarcane, Vegetables","Manual Tools, Harvester",Harvest labor shortage,"No seed drill, Manual weeding","Weeder, Sprayer","Machine handling, Bookkeeping"
Pipra,2287,"Sugarcane, Paddy",None,Harvest labor shortage,"No harvester, No seed drill",Seed drill,Repair & maintenance
Buxar,1990,"Chana, Paddy, Vegetables",Sprayer,No major labor issues,No harvester,Seed drill,Repair & maintenance
Buxar,1364,"Wheat, Paddy, Mung, Sugarcane","None, Harvester",Harvest labor shortage,No weeder,Sprayer,"Nursery setup, Machine handling"
Agariya,723,"Mung, Maize, Wheat, Chana","Sprayer, Manual Tools",Harvest labor shortage,"Manual weeding, No seed drill",Nursery bed,"Repair & maintenance, Bookkeeping"
Rajpur,893,"Wheat, Chana","Manual Tools, Tractor",Harvest labor shortage,"Manual weeding, No seed drill",Paddy transplanter,Nursery setup
Buxar,1919,"Sugarcane, Wheat, Chana, Paddy",Sprayer,Need skilled labor,Manual weeding,"Sprayer, Nursery bed",Custom hiring
Rajpur,2973,"Vegetables, Wheat, Chana, Mung","Harvester, Sprayer, Tractor",No major labor issues,"No seed drill, No paddy planter",Harvester,Repair & maintenance
Buxar,1227,"Millets, Chana","Manual Tools, Tractor",None,No weeder,Seed drill,"Nursery setup, Bookkeeping"
Sonpur,806,"Millets, Vegetables",Tractor,None,"Manual weeding, No seed drill, No weeder","Paddy transplanter, Nursery bed","Custom hiring, Bookkeeping"
Kundesar,2912,"Vegetables, Chana, Millets, Paddy","Tractor, Sprayer",Need skilled labor,No weeder,Seed drill,"Bookkeeping, Nursery setup"
Rajpur,2894,"Sugarcane, Vegetables, Chana, Paddy",Sprayer,Labor migration,"No harvester, No seed drill, Manual weeding","Weeder, Nursery bed","Repair & maintenance, Machine handling"
Pipra,1891,"Mung, Vegetables, Chana, Sugarcane","None, Harvester",Need skilled labor,"No seed drill, No harvester",Sprayer,Repair & maintenance
Chandipur,2506,"Mung, Chana","Harvester, None",None,Manual sowing,"Paddy transplanter, Harvester",Bookkeeping
Sonpur,2894,"Chana, Millets",Manual Tools,Need skilled labor,No harvester,Nursery bed,"Repair & maintenance, Machine handling"
Kundesar,1706,"Maize, Millets","Harvester, None",Harvest labor shortage,"No paddy planter, Manual sowing, No weeder","Paddy transplanter, Seed drill","Custom hiring, Machine handling"
Kundesar,1670,"Wheat, Sugarcane, Chana, Maize","Harvester, Sprayer",No major labor issues,"No harvester, No paddy planter, Manual sowing","Nursery bed, Sprayer","Repair & maintenance, Bookkeeping"
Rajpur,2577,"Millets, Maize","None, Manual Tools, Sprayer",No major labor issues,"Manual sowing, No harvester, No weeder","Seed drill, Weeder",Custom hiring
Pipra,1102,"Paddy, Millets, Sugarcane",Harvester,None,"Manual sowing, No harvester",Nursery bed,"Bookkeeping, Nursery setup"
Pipra,1398,"Sugarcane, Vegetables",Manual Tools,Labor migration,"No weeder, Manual weeding","Harvester, Weeder",Custom hiring
Kundesar,847,"Mung, Wheat, Sugarcane",Sprayer,Need skilled labor,"Manual weeding, No paddy planter","Nursery bed, Seed drill",Bookkeeping
Kundesar,1919,"Paddy, Maize, Vegetables, Millets",None,None,"No seed drill, No paddy planter","Seed drill, Nursery bed","Bookkeeping, Custom hiring"
Malda,2775,"Vegetables, Paddy, Sugarcane","Manual Tools, None, Sprayer",No major labor issues,No paddy planter,Seed drill,"Machine handling, Bookkeeping"
Pipra,1725,"Maize, Vegetables",Sprayer,Need skilled labor,"No seed drill, Manual weeding",Paddy transplanter,Custom hiring
Sonpur,1455,"Wheat, Millets, Vegetables, Paddy","None, Harvester",Harvest labor shortage,"No weeder, Manual sowing","Nursery bed, Harvester",Custom hiring
Buxar,748,"Wheat, Sugarcane","Tractor, Sprayer, Harvester",No major labor issues,"Manual weeding, No seed drill, No weeder",Weeder,"Nursery setup, Machine handling"
Pipra,941,"Vegetables, Mung",None,None,"Manual sowing, No seed drill, No weeder",Nursery bed,"Bookkeeping, Repair & maintenance"
Agariya,762,"Mung, Wheat, Chana","Harvester, Tractor",None,"Manual weeding, No harvester, Manual sowing",Harvester,Machine handling
Khurda,2007,"Vegetables, Millets","Sprayer, Tractor",No major labor issues,"Manual weeding, No seed drill, No harvester",Seed drill,Machine handling
Dhanwar,876,"Mung, Chana, Sugarcane","Harvester, None, Tractor",Need skilled labor,"No paddy planter, Manual sowing",Seed drill,Machine handling
Malda,2483,"Sugarcane, Chana",Sprayer,Labor migration,"No paddy planter, No weeder",Seed drill,"Machine handling, Repair & maintenance"
Malda,2605,"Paddy, Millets","None, Sprayer, Harvester",No major labor issues,"No harvester, No paddy planter","Paddy transplanter, Sprayer",Machine handling
Dhanwar,1000,"Vegetables, Millets","Sprayer, None, Tractor",Harvest labor shortage,"No paddy planter, No weeder",Paddy transplanter,"Bookkeeping, Repair & maintenance"
Agariya,2002,"Wheat, Vegetables","Manual Tools, Sprayer",None,"No seed drill, No harvester, Manual weeding","Sprayer, Weeder","Bookkeeping, Custom hiring"
Dhanwar,1502,"Mung, Sugarcane, Millets, Chana","Harvester, Tractor",Harvest labor shortage,No harvester,Paddy transplanter,Nursery setup
Agariya,2511,"Paddy, Wheat, Sugarcane, Maize",Tractor,None,Manual weeding,Seed drill,"Bookkeeping, Nursery setup"
Pipra,2392,"Maize, Mung",Sprayer,Labor migration,"No paddy planter, Manual sowing, Manual weeding","Seed drill, Harvester","Nursery setup, Repair & maintenance"
Dhanwar,664,"Chana, Sugarcane","Tractor, None, Harvester",Labor migration,"Manual weeding, No seed drill","Paddy transplanter, Sprayer",Bookkeeping
Dhanwar,2323,"Maize, Chana, Vegetables",Manual Tools,Need skilled labor,"No weeder, No paddy planter","Weeder, Paddy transplanter",Custom hiring
Rajpur,1974,"Wheat, Millets, Vegetables","Manual Tools, Harvester, Sprayer",Harvest labor shortage,No harvester,"Paddy transplanter, Seed drill","Bookkeeping, Machine handling"
Chandipur,2533,"Vegetables, Sugarcane, Millets","Tractor, Sprayer, None",Labor migration,Manual weeding,Harvester,"Custom hiring, Nursery setup"
Agariya,1806,"Maize, Millets, Sugarcane","Harvester, Tractor",None,"No weeder, Manual sowing","Paddy transplanter, Harvester","Repair & maintenance, Custom hiring"
Malda,2473,"Maize, Sugarcane","None, Manual Tools",Labor migration,"No seed drill, Manual sowing","Sprayer, Paddy transplanter",Repair & maintenance
Sonpur,1673,"Mung, Chana, Wheat, Sugarcane","Sprayer, None, Manual Tools",Labor migration,"No paddy planter, No weeder, No seed drill",Seed drill,Repair & maintenance
Khurda,2086,"Wheat, Sugarcane","None, Manual Tools, Harvester",Need skilled labor,"No paddy planter, No weeder, Manual sowing",Paddy transplanter,"Nursery setup, Repair & maintenance"
Dhanwar,2199,"Chana, Mung","Tractor, None",Harvest labor shortage,"No seed drill, No weeder",Nursery bed,"Repair & maintenance, Custom hiring"
Sonpur,2103,"Wheat, Sugarcane, Paddy",Tractor,None,No paddy planter,Seed drill,"Bookkeeping, Custom hiring"
Rajpur,1412,"Wheat, Mung","Manual Tools, Tractor",Labor migration,"No paddy planter, No weeder",Seed drill,"Custom hiring, Repair & maintenance"
Buxar,2935,"Millets, Mung, Maize","None, Sprayer",Harvest labor shortage,No harvester,"Harvester, Paddy transplanter","Machine handling, Custom hiring"
Kundesar,1663,"Wheat, Millets, Maize","Harvester, None, Sprayer",Harvest labor shortage,No paddy planter,"Sprayer, Paddy transplanter",Nursery setup
Pipra,584,"Wheat, Chana, Maize",Harvester,Need skilled labor,"No harvester, No seed drill, Manual sowing",Harvester,"Repair & maintenance, Machine handling"
Malda,2672,"Vegetables, Millets, Sugarcane",None,No major labor issues,"Manual weeding, No harvester, No paddy planter","Nursery bed, Weeder",Machine handling
Sonpur,2225,"Mung, Maize, Sugarcane",Manual Tools,No major labor issues,"No paddy planter, No harvester",Seed drill,"Machine handling, Nursery setup"
Dhanwar,2951,"Millets, Paddy, Maize, Mung",Manual Tools,No major labor issues,"Manual weeding, Manual sowing, No paddy planter",Nursery bed,Custom hiring
Dhanwar,1956,"Maize, Paddy","None, Harvester, Manual Tools",Labor migration,No weeder,"Sprayer, Nursery bed","Repair & maintenance, Custom hiring"
Kundesar,1137,"Vegetables, Sugarcane, Wheat, Maize","Tractor, Sprayer, Manual Tools",Harvest labor shortage,"Manual sowing, No harvester","Sprayer, Paddy transplanter",Repair & maintenance
Chandipur,2756,"Maize, Millets","Tractor, Harvester, None",Harvest labor shortage,No seed drill,"Paddy transplanter, Sprayer",Bookkeeping
Malda,2937,"Chana, Millets","None, Harvester, Tractor",Need skilled labor,"No seed drill, Manual weeding, Manual sowing",Sprayer,Repair & maintenance
Khurda,2462,"Wheat, Vegetables",Harvester,Need skilled labor,No weeder,Sprayer,"Bookkeeping, Custom hiring"
Dhanwar,1986,"Mung, Wheat, Chana",Manual Tools,No major labor issues,"No weeder, Manual weeding",Nursery bed,"Bookkeeping, Nursery setup"
Buxar,1230,"Sugarcane, Wheat, Millets","None, Harvester, Sprayer",Need skilled labor,"No harvester, No paddy planter, No seed drill","Sprayer, Nursery bed",Nursery setup
Chandipur,741,"Chana, Vegetables, Millets, Paddy",Tractor,None,"No harvester, Manual weeding",Paddy transplanter,"Machine handling, Repair & maintenance"
Agariya,1386,"Paddy, Mung, Wheat","None, Tractor",Need skilled labor,"Manual weeding, No weeder",Harvester,Machine handling
Malda,1679,"Vegetables, Maize, Sugarcane","Tractor, Sprayer, None",No major labor issues,No seed drill,"Nursery bed, Weeder",Bookkeeping
Agariya,788,"Paddy, Mung, Wheat",Harvester,No major labor issues,No seed drill,"Nursery bed, Sprayer",Bookkeeping
Dhanwar,2431,"Sugarcane, Mung, Paddy, Chana",Tractor,Need skilled labor,Manual weeding,"Nursery bed, Harvester",Bookkeeping
Sonpur,528,"Chana, Maize, Vegetables, Wheat","Harvester, Sprayer",No major labor issues,"No weeder, No harvester","Sprayer, Seed drill",Machine handling
Khurda,2220,"Sugarcane, Vegetables, Mung",Manual Tools,None,"No harvester, No seed drill","Paddy transplanter, Sprayer",Custom hiring
